Title,Rating,Director,Writers,Stars,Keywords,Movie_Duration,Genre,Release_Year,Num_of_ratings
inside out ,8.1, pete docter ronnie del carmen codirector, pete docter , amy poehler bill hader lewis black ,joy sadness memory anger running away,95,Animation,-2015,598103
barfi ,8.1, anurag basu, anurag basu , ranbir kapoor priyanka chopra ileana dcruz ,hill station autism character name in title love 1970s,151,Comedy,-2012,74503
12 years a slave ,8.1, steve mcqueen, john ridley , chiwetel ejiofor michael kenneth williams michael fassbender ,torture kidnapping racism whipping slavery,134,Biography,-2013,628888
rush ,8.1, ron howard, peter morgan, daniel brhl chris hemsworth olivia wilde ,formula 1 rivalry 1970s racecar driver playboy,123,Action,-2013,425680
ford v ferrari ,8.1, james mangold, jez butterworth johnhenry butterworth , matt damon christian bale jon bernthal ,based on true story car racing motor sports racecar racecar driver,152,Action,-2019,266227
spotlight ,8.1, tom mccarthy, josh singer tom mccarthy, mark ruffalo michael keaton rachel mcadams ,child molestation investigation sexual abuse catholic church cover up,129,Biography,-2015,410397
song of the sea ,8.1, tomm moore, will collins , david rawle brendan gleeson lisa hannigan ,brother sister relationship selkie folk tale sea seal the animal,93,Animation,-2014,49753
kahaani ,8.1, sujoy ghosh, sujoy ghosh , vidya balan parambrata chattopadhyay indraneil sengupta ,durga puja festival missing husband female protagonist terrorism actress shares first name with character,122,Mystery,-2012,56841
zindagi na milegi dobara ,8.1, zoya akhtar, farhan akhtar , hrithik roshan farhan akhtar abhay deol ,underwater scene vacation three friends f rated title directed by female,155,Comedy,-2011,66254
prisoners ,8.1, denis villeneuve, aaron guzikowski, hugh jackman jake gyllenhaal viola davis ,child abduction police child kidnapping vigilante justice revenge,153,Crime,-2013,586731
mad max fury road ,8.1, george miller, george miller brendan mccarthy , tom hardy charlize theron nicholas hoult ,post apocalypse desert car chase chase escape,120,Action,-2015,863358
a wednesday ,8.1, neeraj pandey, neeraj pandey , anupam kher naseeruddin shah jimmy sheirgill ,terrorist race against time bomb threat man wears eyeglasses police,104,Action,-2008,72967
gran torino ,8.1, clint eastwood, nick schenk , clint eastwood bee vang christopher carley ,gang widower teenager street gang gang rape,116,Drama,-2008,711074
harry potter and the deathly hallows part 2 ,8.1, david yates, steve kloves , daniel radcliffe emma watson rupert grint ,ginny weasley character lucius malfoy character hermione granger character battle final battle,130,Adventure,-2011,748765
departures ,8.1, yjir takita, kund koyama , masahiro motoki ryko hirosue tsutomu yamazaki ,cellist funeral father son relationship pregnant wife undressing someone,130,Drama,-2008,47932
hachi a dogs tale ,8.1, lasse hallstrm, stephen p lindsey , richard gere joan allen caryhiroyuki tagawa ,dog japanese loyalty waiting human animal relationship,93,Drama,-2009,247855
mary and max ,8.1, adam elliot, adam elliot, toni collette philip seymour hoffman eric bana ,stop motion black comedy stop motion animation clay animation aspergers syndrome,92,Animation,-2009,162059
how to train your dragon ,8.1, dean deblois chris sanders, william davies , jay baruchel gerard butler christopher mintzplasse ,dragon viking village father son relationship island,98,Animation,-2010,655575
elite squad ,8.1, jos padilha, andr batista , wagner moura andr ramiro caio junqueira ,military police rio de janeiro brazil brazilian military rio de janeiro south america,115,Action,-2007,97007
into the wild ,8.1, sean penn, sean penn , emile hirsch vince vaughn catherine keener ,wilderness alaska journey following a dream self discovery,148,Adventure,-2007,563868
no country for old men ,8.1, ethan coen joel coen, joel coen , tommy lee jones javier bardem josh brolin ,sheriff texas contemporary western cold blooded murder desert,122,Crime,-2007,838498
lage raho munna bhai ,8.1, rajkumar hirani, vidhu vinod chopra , sanjay dutt arshad warsi vidya balan ,papadum capitalist radio love satyagraha,144,Comedy,-2006,42264
million dollar baby ,8.1, clint eastwood, paul haggis , hilary swank clint eastwood morgan freeman ,boxing determination women boxing death euthanasia,132,Drama,-2004,626904
hotel rwanda ,8.1, terry george, keir pearson terry george, don cheadle sophie okonedo joaquin phoenix ,rwanda ethnic warfare mass murder hate monger hotel,121,Biography,-2004,330688
tae guk gi the brotherhood of war ,8.1, jekyu kang as jegyu kang, richard epcar jihoon han , donggun jang won bin eunju lee ,korean war 1950s frontline firearm south korean soldier,140,Action,-2004,37484
before sunset ,8.1, richard linklater, richard linklater , ethan hawke julie delpy vernon dobtcheff ,conversations brief encounter enduring relationship ambiguous ending sequel,80,Drama,-2004,230900
munna bhai mbbs ,8.1, rajkumar hirani, vidhu vinod chopra , sanjay dutt arshad warsi gracy singh ,doctor hospital medical school whistleblower parsi,156,Comedy,-2003,72528
memories of murder ,8.1, bong joon ho, bong joon ho kwangrim kim , kangho song sangkyung kim roeha kim ,serial killer based on true story false evidence 1980s anti hero,132,Action,-2003,131333
dil chahta hai ,8.1, farhan akhtar, kassim jagmagia , aamir khan saif ali khan akshaye khanna ,love understanding alcoholic divorce bare chested male bondage,183,Comedy,-2001,65832
kill bill vol 1 ,8.1, quentin tarantino, quentin tarantino quentin tarantino , uma thurman david carradine daryl hannah ,revenge bride sword female protagonist martial arts,111,Action,-2003,983819
finding nemo ,8.1, andrew stanton lee unkrich codirector, andrew stanton , albert brooks ellen degeneres alexander gould ,pufferfish shark great barrier reef short term memory loss protective father,100,Animation,-2003,933702
catch me if you can ,8.1, steven spielberg, jeff nathanson , leonardo dicaprio tom hanks christopher walken ,impostor con race against time deception mother son relationship,141,Biography,-2002,808520
amores perros ,8.1, alejandro g i±rritu as alejandro gonzlez i±rritu, guillermo arriaga , emilio echevarra gael garca bernal goya toledo ,multiple storyline dog mexico city multiple perspectives nonlinear timeline,154,Drama,-2000,220517
neon genesis evangelion the end of evangelion ,8.1, hideaki anno kazuya tsurumaki, hideaki anno , megumi ogata megumi hayashibara yéko miyamura ,depression despair psychological nonlinear timeline anime,87,Animation,-1997,37136
lagaan once upon a time in india ,8.1, ashutosh gowariker, ashutosh gowariker , aamir khan raghuvir yadav gracy singh ,cricket the sport indian freedom movement british land tax based on supposedly true story,224,Adventure,-2001,103239
the legend of 1900 ,8.1, giuseppe tornatore, alessandro baricco , tim roth pruitt taylor vince mlanie thierry ,ship piano pianist jazz year 1900,169,Drama,-1998,57911
the truman show ,8.1, peter weir, andrew niccol, jim carrey ed harris laura linney ,hidden camera simulated reality fictional reality show controlled environment deception,103,Comedy,-1998,918537
  ±µé  ,8.1, emir kusturica, gordan mihic, bajram severdzan srdjan zika todorovic branka katic ,neo screwball comedy four word title deal marriage sister,127,Comedy,-1998,50104
the big lebowski ,8.1, joel coen ethan coen uncredited, ethan coen joel coen, jeff bridges john goodman julianne moore ,rug nihilism pornographer bowling alley death,117,Comedy,-1998,719417
nights of cabiria ,8.1, federico fellini, federico fellini , giulietta masina franois prier franca marzi ,prostitute rescue from drowning italian woman rome italy rome,110,Drama,-1957,42158
throne of blood ,8.1, akira kurosawa, hideo oguni , toshir mifune minoru chiaki isuzu yamada ,tragedy villain opening a door visit shot with an arrow,110,Drama,-1957,45568
the bridge on the river kwai ,8.1, david lean, pierre boulle , william holden alec guinness jack hawkins ,bridge jungle uniform british soldier japanese soldier,161,Adventure,-1957,200205
on the waterfront ,8.1, elia kazan, budd schulberg , marlon brando karl malden lee j cobb ,murder longshoreman waterfront ex boxer pigeon,108,Crime,-1954,139659
the wages of fear ,8.1, henrigeorges clouzot, georges arnaud , yves montand charles vanel peter van eyck ,risk nitroglycerin crude oil oil oil company,131,Adventure,-1953,53435
ace in the hole ,8.1, billy wilder, billy wilder lesser samuels , kirk douglas jan sterling robert arthur ,media manipulation newspaper cave new mexico media circus,111,Drama,-1951,30821
white heat ,8.1, raoul walsh, ivan goff , james cagney virginia mayo edmond obrien ,gangster psychopath trojan horse prison chemical plant,114,Action,-1949,29208
the third man ,8.1, carol reed, graham greene , orson welles joseph cotten alida valli ,funeral betrayal faking ones death rubble film american abroad,93,Film-Noir,-1949,156358
the red shoes ,8.1, michael powell emeric pressburger, hans christian andersen , anton walbrook marius goring moira shearer ,ballet ballerina dancer dance composer,135,Drama,-1948,30227
the shop around the corner ,8.1, ernst lubitsch, samson raphaelson , margaret sullavan james stewart frank morgan ,national film registry workplace romance christmastime quote from julius caesar irony,99,Comedy,-1940,27038
rebecca ,8.1, alfred hitchcock, daphne du maurier , laurence olivier joan fontaine george sanders ,widower castle shipwreck costume party house fire,130,Drama,-1940,120455
mr smith goes to washington ,8.1, frank capra, sidney buchman , james stewart jean arthur claude rains ,us senator national film registry afi children butler,129,Comedy,-1939,105191
gone with the wind ,8.1, victor fleming george cukor uncredited  1 more credit é, margaret mitchell , clark gable vivien leigh thomas mitchell ,narcissism american civil war narcissistic personality disorder strong female character brothel,238,Drama,-1939,285649
la grande illusion ,8.1, jean renoir, charles spaak , jean gabin dita parlo pierre fresnay ,military french soldier despair upper class sentry,113,Drama,-1937,33364
it happened one night ,8.1, frank capra, robert riskin , clark gable claudette colbert walter connolly ,bus reporter spoiled brat haystack father daughter relationship,105,Comedy,-1934,92098
the passion of joan of arc ,8.1, carl theodor dreyer as carl th dreyer, joseph delteil carl theodor dreyer, maria falconetti eugene silvain andr berley ,trial joan of arc close up scene martyrdom teenage girl,114,Biography,-1928,46352
the circus ,8.1, charles chaplin as charlie chaplin, charles chaplin , charles chaplin merna kennedy al ernest garcia ,silent film tightrope walking tramp circus ring,72,Comedy,-1928,28507
sunrise ,8.1, fw murnau, carl mayer , george obrien janet gaynor margaret livingston ,murder plot troubled marriage extramarital affair city country contrast national film registry,94,Drama,-1927,46340
the general ,8.1, clyde bruckman buster keaton, buster keaton clyde bruckman , buster keaton marion mack glen cavender ,train confederate army national film registry army spy,67,Action,-1926,79463
the cabinet of dr caligari ,8.1, robert wiene, carl mayer hans janowitz, werner krauss conrad veidt friedrich feher ,somnambulist somnambulism character name in title expressionism murder of friend,67,Fantasy,-1920,56191
shoplifters ,8.0, hirokazu koreeda, hirokazu koreeda , lily franky sakura and kirin kiki ,short skirt upskirt feminine wiles female nudity miniskirt,121,Crime,-2018,58252
badhaai ho ,8.0, amit ravindernath sharma as amit sharma, akshat ghildial , ayushmann khurrana neena gupta gajraj rao ,mother son relationship embarrassment pregnancy poet husband wife relationship,124,Comedy,-2018,26774
marriage story ,8.0, noah baumbach, noah baumbach, adam driver scarlett johansson julia greer ,infidelity new york city brooklyn new york city los angeles california actress,137,Comedy,-2019,232866
togo ,8.0, ericson core, tom flynn , willem dafoe julianne nicholson christopher heyerdahl ,sled dog 1920s nome alaska alaska dog sled race,113,Adventure,-2019,32628
airlift ,8.0, raja menon, raja menon , akshay kumar nimrat kaur kumud mishra ,arab kuwait businessman evacuation 1990s,130,Drama,-2016,52173
bajrangi bhaijaan ,8.0, kabir khan, vijayendra prasad , salman khan harshaali malhotra nawazuddin siddiqui ,little girl india pakistan mosque muslim,163,Action,-2015,70519
baby ,8.0, neeraj pandey, neeraj pandey, akshay kumar danny denzongpa rana daggubati ,terrorist die hard scenario indo pak espionage behind enemy lines,159,Action,-2015,52024
la la land ,8.0, damien chazelle, damien chazelle, ryan gosling emma stone rosemarie dewitt ,musician los angeles california actress pianist aspiring actress,128,Comedy,-2016,492380
lion ,8.0, garth davis, saroo brierley , dev patel nicole kidman rooney mara ,adoption india street child adoptive mother adoptive son relationship mother son reunion,118,Biography,-2016,208726
the martian ,8.0, ridley scott, drew goddard , matt damon jessica chastain kristen wiig ,astronaut space habitat left for dead nasa presumed dead,144,Adventure,-2015,745975
zootopia ,8.0, byron howard rich moore  1 more credit é, byron howard , ginnifer goodwin jason bateman idris elba ,fox con artist anthropomorphic animal police rabbit,108,Animation,-2016,424560
the tale of the princess kaguya ,8.0, isao takahata, isao takahata , chlo grace moretz james caan mary steenburgen ,bamboo princess studio ghibli adoptive father adopted daughter relationship female protagonist,137,Animation,-2013,37066
wonder ,8.0, stephen chbosky, stephen chbosky , jacob tremblay owen wilson izabela vidovic ,mother son relationship facial deformity interracial relationship marriage father son relationship,113,Drama,-2017,136391
special 26 ,8.0, neeraj pandey, neeraj pandey, akshay kumar anupam kher manoj bajpayee ,raid money black money heist impersonation,144,Crime,-2013,50032
short term 12 ,8.0, destin daniel cretton, destin daniel cretton, brie larson frantz turner john gallagher jr ,strong female character teenager self harm suicide attempt strong female lead,96,Drama,-2013,80319
the raid 2 ,8.0, gareth evans, gareth evans, iko uwais yayan ruhian arifin putra ,prison jakarta indonesia kitchen fight police undercover,150,Action,-2014,112719
the imitation game ,8.0, morten tyldum, graham moore andrew hodges , benedict cumberbatch keira knightley matthew goode ,world war two cryptography enigma code mathematician computer,114,Biography,-2014,672540
guardians of the galaxy ,8.0, james gunn, james gunn nicole perlman , chris pratt vin diesel bradley cooper ,outer space bounty hunter tree talking animal raccoon,121,Action,-2014,1028789
blade runner 2049 ,8.0, denis villeneuve, hampton fancher , harrison ford ryan gosling ana de armas ,menage a trois micro mini skirt short skirt female nudity black bra,164,Action,-2017,447330
her ,8.0, spike jonze, spike jonze, joaquin phoenix amy adams scarlett johansson ,loneliness romance with artificial intelligence divorce future artificial intelligence,126,Drama,-2013,528566
bohemian rhapsody ,8.0, bryan singer, anthony mccarten , rami malek lucy boynton gwilym lee ,bisexual male aids rock band music band live aid,134,Biography,-2018,437925
the revenant ,8.0, alejandro g i±rritu, mark l smith , leonardo dicaprio tom hardy will poulter ,survival bear attack native american left to die based on true story,156,Action,-2015,690056
the perks of being a wallflower ,8.0, stephen chbosky, stephen chbosky , logan lerman emma watson ezra miller ,coming of age high school gay mental illness depression,103,Drama,-2012,454563
elite squad 2 the enemy within ,8.0, jos padilha, brulio mantovani , wagner moura irandhir santos andr ramiro ,south america latin america southeast brazil brazilian police local blockbuster,115,Action,-2010,78484
the kings speech ,8.0, tom hooper, david seidler , colin firth geoffrey rush helena bonham carter ,king george vi period drama speech impediment british royal family royal family,118,Biography,-2010,631082
the help ,8.0, tate taylor, tate taylor , emma stone viola davis octavia spencer ,chocolate pie writer first job writing a novel newspaper columnist,146,Drama,-2011,421882
deadpool ,8.0, tim miller, rhett reese paul wernick, ryan reynolds morena baccarin tj miller ,breaking the fourth wall anti hero mercenary revenge mutant,108,Action,-2016,887414
darbareye elly ,8.0, asghar farhadi, asghar farhadi , golshifteh farahani shahab hosseini taraneh alidoosti ,two word title liar revealed vomiting friend volleyball,119,Drama,-2009,44288
devd ,8.0, anurag kashyap, saratchandra chatterjee , abhay deol mahie gill kalki koechlin ,downward spiral prostitute childhood sweetheart misunderstanding vodka,144,Drama,-2009,28368
ip man ,8.0, wilson yip, edmond wong , donnie yen simon yam siuwong fan ,martial arts wing chun kung fu murder chinese,106,Action,-2008,209056
my name is khan ,8.0, karan johar, shibani bathija , shah rukh khan kajol sheetal menon ,barack obama character aspergers syndrome racial profiling autism airport,165,Drama,-2010,97137
the breath ,8.0, levent semerci, mehmet ilker altinay , mete horozoglu ilker kizmaz baris bagci ,turkish army year 1993 1990s terror turkey,128,Action,-2009,31367
slumdog millionaire ,8.0, danny boyle loveleen tandan codirector, simon beaufoy , dev patel freida pinto saurabh shukla ,papadum murder india non professional cast prostitute,120,Drama,-2008,789448
black swan ,8.0, darren aronofsky, mark heyman , natalie portman mila kunis vincent cassel ,ballerina ballet madness female protagonist sex scene,108,Drama,-2010,689492
the avengers ,8.0, joss whedon, joss whedon , robert downey jr chris evans scarlett johansson ,superhero marvel cinematic universe alien invasion shield final battle,143,Action,-2012,1246446
persepolis ,8.0, vincent paronnaud marjane satrapi, marjane satrapi , chiara mastroianni catherine deneuve gena rowlands ,iran iranian revolution 1970s based on comic book f rated,96,Animation,-2007,87483
dallas buyers club ,8.0, jeanmarc valle, craig borten melisa wallack, matthew mcconaughey jennifer garner jared leto ,hiv gay community homophobia drugs hiv positive,117,Biography,-2013,432896
the pursuit of happyness ,8.0, gabriele muccino, steve conrad , will smith thandie newton jaden smith ,motivational passion hardwork american dream cameo appearance by real life subject,117,Biography,-2006,440181
blood diamond ,8.0, edward zwick, charles leavitt , leonardo dicaprio djimon hounsou jennifer connelly ,civil war diamond rebel sierra leone journalist,143,Adventure,-2006,492135
the bourne ultimatum ,8.0, paul greengrass, tony gilroy , matt damon edgar ramrez joan allen ,memory dark past flashback blockbuster surprise ending,115,Action,-2007,599303
3iron ,8.0, kiduk kim, kiduk kim, seungyun lee hee jae hyukho kwon ,abusive husband motorcycle golf drifter boxer,88,Crime,-2004,49239
sin city ,8.0, frank miller quentin tarantino  1 more credit é, frank miller , mickey rourke clive owen bruce willis ,neo noir corruption based on graphic novel night dark horse comics,124,Crime,-2005,734718
the diving bell and the butterfly ,8.0, julian schnabel laura obiols, ronald harwood , mathieu amalric emmanuelle seigner mariejose croze ,coma writing hospital based on autobiography full body paralysis,112,Biography,-2007,102381
gora ,8.0, mer faruk sorak, can yilmaz cem yilmaz , cem yilmaz zge zberk ozan gven ,outer space spaceflight spaceship carpet istanbul turkey,127,Adventure,-2004,55566
ratatouille ,8.0, brad bird jan pinkava codirector, brad bird , brad garrett lou romano patton oswalt ,rat chef ratatouille soup hair,111,Animation,-2007,628905
casino royale ,8.0, martin campbell, neal purvis , daniel craig eva green judi dench ,cleavage nipples visible through clothing bikini adultery bond girl,144,Action,-2006,573794
kill bill vol 2 ,8.0, quentin tarantino, quentin tarantino quentin tarantino , uma thurman david carradine michael madsen ,bride vengeance female assassin martial arts revenge,137,Action,-2004,672778
the return ,8.0, andrey zvyagintsev, vladimir moiseenko aleksandr novototskiyvlasov , vladimir garin ivan dobronravov konstantin lavronenko ,male protagonist boy russian russia wilderness,110,Drama,-2003,41660
spring summer fall winter and spring ,8.0, kiduk kim, kiduk kim, kiduk kim yeongsu oh jongho kim ,buddhist seclusion isolation buddhist monk monk,103,Drama,-2003,76065
the sea inside ,8.0, alejandro amenbar, alejandro amenbar , javier bardem beln rueda lola due±as ,lawyer euthanasia sailor freedom dignity,126,Biography,-2004,76655
cinderella man ,8.0, ron howard, cliff hollingsworth , russell crowe rene zellweger craig bierko ,boxing based on real events friendship between men gender in title max baer,144,Biography,-2005,174113
kal ho naa ho ,8.0, nikkhil advani as nikhil advani, niranjan iyengar , preity zinta shah rukh khan saif ali khan ,homosexual overtones gay joke tragic ending gay slur restaurant,186,Comedy,-2003,62388
infernal affairs ,8.0, andrew lau alan mak, alan mak felix chong, andy lau tony chiuwai leung anthony chausang wong ,mole police undercover cop neo noir triad,101,Action,-2002,116827
pirates of the caribbean the curse of the black pearl ,8.0, gore verbinski, ted elliott , johnny depp geoffrey rush orlando bloom ,pirate curse undead based on theme park attraction based on theme park ride,143,Action,-2003,1004909
big fish ,8.0, tim burton, daniel wallace , ewan mcgregor albert finney billy crudup ,storytelling fish father son relationship death of father flashback,125,Adventure,-2003,410469
the incredibles ,8.0, brad bird, brad bird, craig t nelson samuel l jackson holly hunter ,superhero family superhero non comic book superhero secret identity cgi animation,115,Animation,-2004,646480
my sassy girl ,8.0, jaeyoung kwak, hosik kim , taehyun cha jihyun jun inmun kim ,south korea boyfriend girlfriend relationship wild girl time capsule ends with freeze frame,137,Comedy,-2001,44903
dogville ,8.0, lars von trier, lars von trier, nicole kidman paul bettany lauren bacall ,rape wanted poster gangster experimental film missing person poster,178,Crime,-2003,135824
vizontele ,8.0, yilmaz erdogan mer faruk sorak, yilmaz erdogan, yilmaz erdogan demet akbag altan erkekli ,television mayor turkish invasion of cyprus cyprus written and directed by cast member,110,Comedy,-2001,32589
donnie darko ,8.0, richard kelly, richard kelly, jake gyllenhaal jena malone mary mcdonnell ,surrealism mental illness cult film imaginary friend schizophrenia,113,Drama,-2001,731372
monsters inc ,8.0, pete docter david silverman codirector  1 more credit é, pete docter , billy crystal john goodman mary gibbs ,original story monster world human nonhuman relationship monster interspecies friendship,92,Animation,-2001,800369
magnolia ,8.0, paul thomas anderson, paul thomas anderson, tom cruise jason robards julianne moore ,coincidence multiple storyline surprise ending cancer abusive father,188,Drama,-1999,286012
dancer in the dark ,8.0, lars von trier as lars von trier, lars von trier , bjrk catherine deneuve david morse ,singing factory czech immigrant prison tragedy,140,Crime,-2000,100627
mulholland drive ,8.0, david lynch, david lynch, naomi watts laura harring justin theroux ,lesbian sex actress playing multiple roles cult film surrealism lesbian kiss,147,Drama,-2001,315516
the straight story ,8.0, david lynch, john roach mary sweeney, richard farnsworth sissy spacek jane galloway heitz ,lawn mower elderly protagonist road trip lead actors last film takes father to a doctor,112,Biography,-1999,80520
perfect blue ,8.0, satoshi kon, sadayuki murai , junko iwao rica matsumoto shinpachi tsuji ,stalking actress obsessed fan ambiguity film within a film,81,Animation,-1997,55329
the celebration ,8.0, thomas vinterberg uncredited, thomas vinterberg , ulrich thomsen henning moritzen thomas bo larsen ,dogme 95 speech family secret haunted by the past secret,105,Drama,-1998,76839
central station ,8.0, walter salles, marcos bernstein jo£o emanuel carneiro , fernanda montenegro vincius de oliveira marlia pèra ,country name in title train station retired illiterate boy,110,Drama,-1998,35715
the iron giant ,8.0, brad bird, tim mccanlies , eli marienthal harry connick jr jennifer aniston ,cult film robot government agent friend friendship,86,Animation,-1999,169360
knockin on heavens door ,8.0, thomas jahn, thomas jahn , til schweiger jan josef liefers thierry van werveke ,sea tequila hospital convertible cancer,87,Action,-1997,27228
sling blade ,8.0, billy bob thornton, billy bob thornton , billy bob thornton dwight yoakam jt walsh ,southern gothic mental institution small town neo noir sadistic psychopath,135,Drama,-1996,86019
secrets  lies ,8.0, mike leigh, mike leigh, timothy spall brenda blethyn phyllis logan ,biological mother mother daughter relationship birthday party search for birth mother family secret,136,Comedy,-1996,36776
12 monkeys ,8.0, terry gilliam, chris marker , bruce willis madeleine stowe brad pitt ,time travel virus mental institution underground psychiatrist,129,Mystery,-1995,571145
ghost in the shell ,8.0, mamoru oshii, shirow masamune , atsuko tanaka iemasa kayumi akio îtsuka ,anime cyborg hacker investigation cyberpunk,83,Animation,-1995,126533
the nightmare before christmas ,8.0, henry selick, tim burton , danny elfman chris sarandon catherine ohara ,christmas movie christmas halloween gothic stop motion animation,76,Animation,-1993,288291
groundhog day ,8.0, harold ramis, danny rubin , bill murray andie macdowell chris elliott ,trapped in a time loop time loop groundhog day suicide weatherman,101,Comedy,-1993,571622
blood in blood out ,8.0, taylor hackford, ross thomas , damian chapa jesse borrego benjamin bratt ,mexican barrio gang war 1980s 1970s,180,Crime,-1993,28464
scent of a woman ,8.0, martin brest, giovanni arpino , al pacino chris odonnell james rebhorn ,blind character private school tango philogyny loss of eyesight,156,Drama,-1992,256498
aladdin ,8.0, ron clements john musker, ron clements , scott weinger robin williams linda larkin ,arab genie genie character princess cave,90,Animation,-1992,367463
jfk ,8.0, oliver stone, oliver stone , kevin costner gary oldman jack lemmon ,conspiracy theory investigation president assassination assassination of president,189,Drama,-1991,139632
beauty and the beast ,8.0, gary trousdale kirk wise, linda woolverton , paige ohara robby benson jesse corti ,france rose castle fairy tale chauvinism,84,Animation,-1991,412425
dances with wolves ,8.0, kevin costner, michael blake , kevin costner mary mcdonnell graham greene ,friendship native american 19th century wolf famous score,181,Adventure,-1990,236383
do the right thing ,8.0, spike lee, spike lee, danny aiello ossie davis ruby dee ,pizzeria bedford stuyvesant brooklyn new york city pizza boycott pizza delivery,120,Comedy,-1989,87219
rain man ,8.0, barry levinson, barry morrow , dustin hoffman tom cruise valeria golino ,road movie gambling men dancing together travel autistic savant,133,Drama,-1988,467143
 ,8.0, katsuhiro îtomo, katsuhiro îtomo , mitsuo iwata nozomu sasaki mami koyama ,cyberpunk post thermonuclear war biker gang gifted child science runs amok,124,Animation,-1988,161306
wings of desire ,8.0, wim wenders, wim wenders , bruno ganz solveig dommartin otto sander ,suicide library inner monologue mortality film set,128,Drama,-1987,63458
au revoir les enfants ,8.0, louis malle, louis malle louis malle , gaspard manesse raphael fejt francine racette ,school priest catholic jewish nazi,104,Drama,-1987,30665
castle in the sky ,8.0, hayao miyazaki, hayao miyazaki, mayumi tanaka keiko yokozawa kotoe hatsui ,lost civilization car on train tracks tunnel army pirate,125,Animation,-1986,146728
the terminator ,8.0, james cameron, james cameron gale anne hurd , arnold schwarzenegger linda hamilton michael biehn ,robotics time travel future war pig bacon,107,Action,-1984,789380
gandhi ,8.0, richard attenborough, john briley, ben kingsley john gielgud rohini hattangadi ,india peace surname as title independence hindu,191,Biography,-1982,215875
kagemusha ,8.0, akira kurosawa, masato ide akira kurosawa, tatsuya nakadai tsutomu yamazaki kenichi hagiwara ,japan warrior samurai epic one word title,162,Drama,-1980,31570
being there ,8.0, hal ashby, jerzy kosinski , peter sellers shirley maclaine melvyn douglas ,gardener businessman washington dc television politics,130,Comedy,-1979,64601
annie hall ,8.0, woody allen, woody allen marshall brickman, woody allen diane keaton tony roberts ,breaking the fourth wall long take dialogue driven talking to the camera written and directed by cast member,93,Comedy,-1977,249286
all the presidents men ,8.0, alan j pakula, carl bernstein , dustin hoffman robert redford jack warden ,investigative journalism watergate washington post newspaper journalist,138,Biography,-1976,100621
jaws ,8.0, steven spielberg, peter benchley , roy scheider robert shaw richard dreyfuss ,shark beach great white shark blockbuster shark attack,124,Adventure,-1975,537953
dog day afternoon ,8.0, sidney lumet, frank pierson , al pacino john cazale penelope allen ,heist shot in the forehead hostage robbery hostage situation,125,Biography,-1975,232191
young frankenstein ,8.0, mel brooks, gene wilder , gene wilder madeline kahn marty feldman ,spoof hunchback reanimation laboratory experiment,106,Comedy,-1974,141364
papillon ,8.0, franklin j schaffner, dalton trumbo , steve mcqueen dustin hoffman victor jory ,prison warden hopelessness homosexual interest shot to death manhunter,151,Biography,-1973,120073
the exorcist ,8.0, william friedkin, william peter blatty , ellen burstyn max von sydow linda blair ,exorcist exorcism demonic possession demonic force priest,122,Horror,-1973,356650
sleuth ,8.0, joseph l mankiewicz, anthony shaffer , laurence olivier michael caine alec cawthorne ,battle of wits suspense surprise ending psychotronic film huis clos,138,Mystery,-1972,44282
the last picture show ,8.0, peter bogdanovich, larry mcmurtry , timothy bottoms jeff bridges cybill shepherd ,1950s texas movie theater older woman younger man relationship nostalgia,118,Drama,-1971,41589
fiddler on the roof ,8.0, norman jewison, sholom aleichem , topol norma crane leonard frey ,tradition versus modernity jewish tradition village wedding,181,Drama,-1971,38658
the conformist ,8.0, bernardo bertolucci, alberto moravia , jeanlouis trintignant stefania sandrelli gastone moschin ,fascist italy assassination political assassination professor,113,Drama,-1970,26336
butch cassidy and the sundance kid ,8.0, george roy hill, william goldman, paul newman robert redford katharine ross ,outlaw bolivia fast draw bank robbery outlaw gang,110,Biography,-1969,199892
rosemarys baby ,8.0, roman polanski, ira levin , mia farrow john cassavetes ruth gordon ,satanism coven paranoia incubus 1960s,137,Drama,-1968,189601
planet of the apes ,8.0, franklin j schaffner, michael wilson , charlton heston roddy mcdowall kim hunter ,astronaut future caught in a net man forced to strip lobotomy,112,Adventure,-1968,163550
the graduate ,8.0, mike nichols, calder willingham , dustin hoffman anne bancroft katharine ross ,older woman younger man relationship college graduate adultery famous score one man two women,106,Comedy,-1967,250941
whos afraid of virginia woolf ,8.0, mike nichols, ernest lehman , elizabeth taylor richard burton george segal ,alcohol drunken argument marital argument professor guest,131,Drama,-1966,68173
the sound of music ,8.0, robert wise, george hurdalek , julie andrews christopher plummer eleanor parker ,singing family based on true story blonde woman nazi occupation anti nazi,172,Biography,-1965,199697
doctor zhivago ,8.0, david lean, boris pasternak , omar sharif julie christie geraldine chaplin ,poet poetry deportation balalaika cold weather,197,Drama,-1965,68745
a fistful of dollars ,8.0, sergio leone as bob robertson, adriano bolzoni , clint eastwood gian maria volont marianne koch ,yojimbo plot two gun holster army italo western bar,99,Action,-1964,194400
8 ,8.0, federico fellini, federico fellini , marcello mastroianni anouk aime claudia cardinale ,film director infidelity adultery hiding under a table self acceptance,138,Drama,-1963,107123
vivre sa vie ,8.0, jeanluc godard, marcel sacotte , anna karina sady rebbot andr s labarthe ,prostitution french new wave philosophy of love shootout street prostitution,85,Drama,-1962,27193
