Title,Rating,Director,Writers,Stars,Keywords,Movie_Duration,Genre,Release_Year,Num_of_ratings
sicario ,7.6, denis villeneuve, taylor sheridan, emily blunt josh brolin benicio del toro ,war on drugs drug cartel juarez mexico neo noir surprise ending,121,Action,-2015,363872
creed ,7.6, ryan coogler, ryan coogler , michael b jordan sylvester stallone tessa thompson ,gym training fight boxing boxing match,133,Drama,-2015,243203
leviathan ,7.6, andrey zvyagintsev, oleg negin andrey zvyagintsev, aleksey serebryakov elena lyadova roman madyanov ,corrupt politician alcoholic alcohol vodka orthodox priest,140,Crime,-2014,48414
hell or high water ,7.6, david mackenzie, taylor sheridan, chris pine ben foster jeff bridges ,texas bank robber brother brother relationship armed robbery bank robbery,102,Action,-2016,199955
philomena ,7.6, stephen frears, steve coogan , judi dench steve coogan sophie kennedy clark ,convent catholic church human interest story illegitimate son irish adoption board,98,Biography,-2013,93174
dawn of the planet of the apes ,7.6, matt reeves, mark bomback rick jaffa , gary oldman keri russell andy serkis ,post apocalypse sequel ape leader dam,130,Action,-2014,408093
the body ,7.6, oriol paulo, oriol paulo , jos coronado hugo silva beln rueda ,surprise ending morgue car accident vengeance missing body,112,Mystery,-2012,55362
the raid redemption ,7.6, gareth evans as gareth huw evans, gareth evans , iko uwais ananda george ray sahetapy ,indonesia low budget film apartment police swat team,101,Action,-2011,188166
end of watch ,7.6, david ayer, david ayer, jake gyllenhaal michael pe±a anna kendrick ,street gang police lapd police officer police partner,109,Action,-2012,225481
the secret world of arrietty ,7.6, hiromasa yonebayashi, mary norton , bridgit mendler amy poehler will arnett ,the borrowers studio ghibli five word title directorial debut based on a novel,94,Animation,-2010,78593
true grit ,7.6, ethan coen joel coen, joel coen , jeff bridges matt damon hailee steinfeld ,revisionist western reference to new mexico death by hanging long drop hanging spanking threat,110,Drama,-2010,306939
in a better world ,7.6, susanne bier, anders thomas jensen , mikael persbrandt trine dyrholm markus rygaard ,bullying revenge bully adultery sex,118,Drama,-2010,38143
despicable me ,7.6, pierre coffin chris renaud, cinco paul , steve carell jason segel russell brand ,moon white picket fence pyramid minion neighbor,95,Animation,-2010,493682
5050 ,7.6, jonathan levine, will reiser, joseph gordonlevitt seth rogen anna kendrick ,cancer best friend therapist chemotherapy survival rate,100,Comedy,-2011,312948
kickass ,7.6, matthew vaughn, jane goldman , aaron taylorjohnson nicolas cage chlo grace moretz ,comic book superhero reference to batman female killer narrated by character,117,Action,-2010,519591
celda 211 ,7.6, daniel monzn, jorge guerricaechevarra , luis tosar alberto ammann antonio resines ,spain caligula character prison riot penitentiary walkie talkie,113,Action,-2009,63163
moneyball ,7.6, bennett miller, steven zaillian , brad pitt robin wright jonah hill ,strategy baseball statistics voice over filmed in phoenix arizona,133,Biography,-2011,358807
the skin i live in ,7.6, pedro almodvar, thierry jonquet , antonio banderas elena anaya jan cornet ,skin plastic surgeon suicide face mask rape,120,Drama,-2011,136132
zombieland ,7.6, ruben fleischer, rhett reese paul wernick, jesse eisenberg emma stone woody harrelson ,zombie amusement park twinkie on the road actor playing himself,88,Adventure,-2009,513425
the wave ,7.6, dennis gansel, ron jones , jrgen vogel frederick lau max riemelt ,autocracy dictatorship experiment school project teenage activist,107,Drama,-2008,101313
sherlock holmes ,7.6, guy ritchie, michael robert johnson , robert downey jr jude law rachel mcadams ,scotland yard inspector baker street london sherlock holmes character dr john watson character serial killer,128,Action,-2009,576658
5 centimeters per second ,7.6, makoto shinkai, makoto shinkai , kenji mizuhashi yoshimi kondou satomi hanamura ,nostalgia friendship cell phone classroom convenience store,63,Animation,-2007,49804
the blind side ,7.6, john lee hancock, john lee hancock michael lewis , quinton aaron sandra bullock tim mcgraw ,american football rapping in a car singing in a car football star high school football,129,Biography,-2009,287837
the visitor ,7.6, tom mccarthy, tom mccarthy, richard jenkins haaz sleiman danai gurira ,professor conference lawyer connecticut economics,104,Drama,-2007,41290
superbad ,7.6, greg mottola, seth rogen evan goldberg, michael cera jonah hill christopher mintzplasse ,short skirt thin girl pig bacon bra and panties,113,Comedy,-2007,513879
seven pounds ,7.6, gabriele muccino, grant nieporte, will smith rosario dawson woody harrelson ,redemption weak heart heart patient usa united states,123,Drama,-2008,283409
eastern promises ,7.6, david cronenberg, steven knight , naomi watts viggo mortensen armin muellerstahl ,sex scene pubic hair nudity ukrainian brutality,100,Action,-2007,224911
stardust ,7.6, matthew vaughn, jane goldman , charlie cox claire danes sienna miller ,witch magic one word title voice over narration transformation,127,Adventure,-2007,251613
the secret of kells ,7.6, tomm moore nora twomey codirector, tomm moore , evan mcguire brendan gleeson mick lally ,forest ink wall monastery barbarian,75,Animation,-2009,30665
